V1,index
0.7359320589443077,471.2023-07-01
0.43288767468472517,471.2023-08-01
1.0122394990568298,471.2023-09-01
0.6400540450092844,471.2023-10-01
1.4645330499370783,471.2023-11-01
-1.0900137339470686,479.2022-04-01
-0.7746410757267512,479.2022-05-01
-0.6466581816875906,479.2022-06-01
-0.5789554105269733,479.2022-07-01
-0.46430246270664555,479.2022-08-01
-0.6211283810287634,479.2022-09-01
-0.27311148072144953,479.2022-10-01
-0.3251213864868453,479.2022-11-01
-0.6291931269103795,479.2022-12-01
-0.49527725102784875,479.2023-01-01
-0.3019288211004089,479.2023-02-01
-0.15807327433818583,479.2023-03-01
-0.21010886400780415,479.2023-04-01
-0.21244609927886351,479.2023-05-01
-0.2233103907056651,479.2023-06-01
-0.13729499593578715,479.2023-07-01
-0.18663377567610542,479.2023-08-01
-0.23597255541718126,479.2023-09-01
-0.22400385611545875,479.2023-10-01
-0.09075576173909822,479.2023-11-01
-0.8335856355949245,481.2022-04-01
-0.8098023404150674,481.2022-05-01
-0.8020971691906604,481.2022-06-01
-0.6959712775245347,481.2022-07-01
-0.7248143018085929,481.2022-08-01
-0.8068486914453172,481.2022-09-01
-0.7293346689266984,481.2022-10-01
-0.7018528915590523,481.2022-11-01
-0.7104313155222447,481.2022-12-01
-0.6011206197499596,481.2023-01-01
-0.567192182457885,481.2023-02-01
-0.47306067399812624,481.2023-03-01
-0.5468505304247279,481.2023-04-01
-0.5592301721919505,481.2023-05-01
-0.4321975826036162,481.2023-06-01
-0.45020199936479044,481.2023-07-01
-0.3477489059823191,481.2023-08-01
-0.3751022638290967,481.2023-09-01
-0.26096299408957574,481.2023-10-01
-0.17918544349287305,481.2023-11-01
0.29881769537548153,494.2022-04-01
0.5541157019487698,494.2022-05-01
0.24798924919770018,494.2022-06-01
0.5095541283668577,494.2022-07-01
0.5555796844812163,494.2022-08-01
0.5697058317265609,494.2022-09-01
0.5232179653384379,494.2022-10-01
0.5256065684179987,494.2022-11-01
0.5538074951000272,494.2022-12-01
0.579594134798247,494.2023-01-01
0.5783613074022902,494.2023-02-01
0.6100552450395296,494.2023-03-01
0.5911518916355436,494.2023-04-01
0.6180686231130443,494.2023-05-01
0.627700087143884,494.2023-06-01
0.7080136552077232,494.2023-07-01
0.7903305677901794,494.2023-08-01
0.8581103906619545,494.2023-09-01
0.9077830611565288,494.2023-10-01
1.0339423980064337,494.2023-11-01
2.1007747218565105,679.2022-04-01
1.9613624904999338,679.2022-05-01
2.3478025113139207,679.2022-06-01
1.9803428956170088,679.2022-07-01
2.30162285177486,679.2022-08-01
1.942561872713276,679.2022-09-01
2.2408290508138213,679.2022-10-01
2.0756815475686823,679.2022-11-01
2.3887683383251317,679.2022-12-01
2.564266454916435,679.2023-01-01
2.2133215895434275,679.2023-02-01
2.2715726840013963,679.2023-03-01
2.412808472547351,679.2023-04-01
2.558975570676162,679.2023-05-01
2.659476687348253,679.2023-06-01
2.6464035801715182,679.2023-07-01
2.876146102183222,679.2023-08-01
2.8555219272067744,679.2023-09-01
3.1857655658898896,679.2023-10-01
2.9501927976520794,679.2023-11-01
-0.1264050206041446,753.2022-04-01
0.009771038837841736,753.2022-05-01
-0.13215821511869427,753.2022-06-01
-0.08017399325641619,753.2022-07-01
0.04567713674463789,753.2022-08-01
0.18370243727999877,753.2022-09-01
0.28892939230318165,753.2022-10-01
0.2323734355154575,753.2022-11-01
0.33503200013030104,753.2022-12-01
0.4981247910500151,753.2023-01-01
0.42364146921324797,753.2023-02-01
0.6930142552229084,753.2023-03-01
0.6645051216919723,753.2023-04-01
0.6124952159271325,753.2023-05-01
0.5523691964717147,753.2023-06-01
0.594156908413195,753.2023-07-01
0.7947225153880972,753.2023-08-01
0.8148073283803766,753.2023-09-01
0.8730584228378871,753.2023-10-01
0.9041616306810494,753.2023-11-01
0.20119317596031325,794.2022-04-01
0.22418027011342087,794.2022-05-01
0.16169133148212123,794.2022-06-01
0.005841401514398657,794.2022-07-01
0.4653521294403766,794.2022-08-01
0.3554507038757864,794.2022-09-01
0.37425132166348773,794.2022-10-01
0.3712463048857256,794.2022-11-01
0.3960055884207133,794.2022-12-01
0.24174806050567232,794.2023-01-01
0.4654805489616917,794.2023-02-01
0.4167581829188265,794.2023-03-01
0.20147569890613024,794.2023-04-01
0.36002243880235935,794.2023-05-01
0.4764218921008594,794.2023-06-01
0.5043146119335927,794.2023-07-01
0.30164292482476535,794.2023-08-01
0.396622002119059,794.2023-09-01
0.3910485949331175,794.2023-10-01
0.4319630541354822,794.2023-11-01
0.5867599440374911,801.2022-04-01
0.6091563083966647,801.2022-05-01
0.6593683408762387,801.2022-06-01
0.6964302144667793,801.2022-07-01
0.7414540983217917,801.2022-08-01
0.6840762566037095,801.2022-09-01
0.705676419936138,801.2022-10-01
0.7738671852736585,801.2022-11-01
0.7807247876636033,801.2022-12-01
0.8838713464564514,801.2023-01-01
0.9834735264856778,801.2023-02-01
1.0572376990090202,801.2023-03-01
1.058624629829858,801.2023-04-01
1.1551704252730413,801.2023-05-01
1.1885851844837068,801.2023-06-01
1.198268016323206,801.2023-07-01
1.4531550804311468,801.2023-08-01
1.592926886444837,801.2023-09-01
1.7652145150255854,801.2023-10-01
1.8365644005653337,801.2023-11-01
0.685668658656614,807.2022-04-01
0.6762683497624957,807.2022-05-01
0.7241688308748858,807.2022-06-01
0.673597223738177,807.2022-07-01
0.66591773641793806,807.2022-08-01
0.7034676041853345,807.2022-09-01
0.7663931691854716,807.2022-10-01
0.7663931691857527,807.2022-11-01
0.7663931691858681,807.2022-12-01
0.7663931691859153,807.2023-01-01
0.8544632762825359,807.2023-02-01
0.897432447811515,807.2023-03-01
1.0461936202526838,807.2023-04-01
0.9597159152098137,807.2023-05-01
0.8637351656564374,807.2023-06-01
0.8955318389099721,807.2023-07-01
0.9767957114249113,807.2023-08-01
1.0763722075501805,807.2023-09-01
1.0658931746846652,807.2023-10-01
1.2226420412959396,807.2023-11-01
-0.6853124573303822,808.2022-04-01
-0.7248399857122332,808.2022-05-01
-0.689550301503698,808.2022-06-01
-0.6535414679812094,808.2022-07-01
-0.6671282532405306,808.2022-08-01
-0.7212442391405242,808.2022-09-01
-0.6367441947117088,808.2022-10-01
-0.6279346156114236,808.2022-11-01
-0.6014031426949741,808.2022-12-01
-0.6263422135582712,808.2023-01-01
-0.5869431046968567,808.2023-02-01
-0.6016086139274985,808.2023-03-01
-0.623234461164108,808.2023-04-01
-0.5751285088190148,808.2023-05-01
-0.5764127040231368,808.2023-06-01
-0.5495473403535426,808.2023-07-01
-0.5874567827781269,808.2023-08-01
-0.4602957736694097,808.2023-09-01
-0.5012616006795656,808.2023-10-01
-0.5165692075122525,808.2023-11-01
-0.9177517892717767,830.2022-04-01
-0.929027023163559,830.2022-05-01
-0.9747700563328916,830.2022-06-01
-0.8862633228675929,830.2022-07-01
-1.0689015647926405,830.2022-08-01
-0.9594881334048935,830.2022-09-01
-1.0081334477355484,830.2022-10-01
-0.9685545515453065,830.2022-11-01
-1.0287062549047876,830.2022-12-01
-1.0292199329865819,830.2023-01-01
-1.0236208418966988,830.2023-02-01
-0.9860709741290112,830.2023-03-01
-1.0273450079883175,830.2023-04-01
-0.9173408468063035,830.2023-05-01
-1.1493435523766529,830.2023-06-01
-0.9297204885735648,830.2023-07-01
-0.8430116283935905,830.2023-08-01
-0.8020201174791001,830.2023-09-01
-0.8577285054318287,830.2023-10-01
-0.8281920157377939,830.2023-11-01
-0.8328151184725088,832.2022-04-01
-0.8549032759827927,832.2022-05-01
-0.780034695584421,832.2022-06-01
-0.8466844266762996,832.2022-07-01
-0.7512944069166579,832.2022-08-01
-0.6880092672593158,832.2022-09-01
-0.759333468894101,832.2022-10-01
-0.6389786943670481,832.2022-11-01
-0.7422793565837404,832.2022-12-01
-0.6302975347871046,832.2023-01-01
-0.6927351056098987,832.2023-02-01
-0.6437045327177844,832.2023-03-01
-0.5218600917542571,832.2023-04-01
-0.6324036149214982,832.2023-05-01
-0.7076317699770958,832.2023-06-01
-0.6553907090747549,832.2023-07-01
-0.5940318622234483,832.2023-08-01
-0.6519747498315174,832.2023-09-01
-0.5178020349085497,832.2023-10-01
-0.5711475036863795,832.2023-11-01
-1.3796511202803445,859.2022-04-01
-1.5010075670664977,859.2022-05-01
-1.4497938623271922,859.2022-06-01
-1.3471866655208036,859.2022-07-01
-1.3909520380761868,859.2022-08-01
-1.4261389866683287,859.2022-09-01
-1.5017267163807397,859.2022-10-01
-1.4873694139988058,859.2022-11-01
-1.3116658261756806,859.2022-12-01
-1.302419620706188,859.2023-01-01
-1.3984003702596266,859.2023-02-01
-1.392159181568135,859.2023-03-01
-1.3739492935738438,859.2023-04-01
-1.463765906147521,859.2023-05-01
-1.5032934345295235,859.2023-06-01
-1.459553745878237,859.2023-07-01
-1.4138363966129481,859.2023-08-01
-1.2934302542779548,859.2023-09-01
-1.4334588993310253,859.2023-10-01
-1.3317249552631911,859.2023-11-01
0.5208293622590501,885.2022-04-01
0.6692309600438207,885.2022-05-01
0.44223661576891127,885.2022-06-01
0.6430333778804211,885.2022-07-01
0.6701298966866168,885.2022-08-01
0.679324734348034,885.2022-09-01
0.6161680142109527,885.2022-10-01
0.624181392284397,885.2022-11-01
0.6571852090295336,885.2022-12-01
0.7002571161746906,885.2023-01-01
0.6091563083966682,885.2023-02-01
0.6199692320152598,885.2023-03-01
0.6084628429866984,885.2023-04-01
0.7211894980011924,885.2023-05-01
0.6223578350947621,885.2023-06-01
0.6457301878092797,885.2023-07-01
0.7124312867096696,885.2023-08-01
0.7052397935666493,885.2023-09-01
0.6797870446218787,885.2023-10-01
0.7581743198794355,885.2023-11-01
3.364625297453432,104.2023-12-01
3.4017622815078044,104.2024-01-01
3.4069092493506323,104.2024-02-01
3.3265271292620286,104.2024-03-01
3.34359325935359,104.2024-04-01
3.4210785114169946,104.2024-05-01
1.4094181307872826,142.2023-12-01
1.4584691708618178,142.2024-01-01
1.5009917293616897,142.2024-02-01
1.4497992731444944,142.2024-03-01
1.501163941749933,142.2024-04-01
1.5133638231363884,142.2024-05-01
0.015245350813853505,178.2023-12-01
-0.009917714239318766,178.2024-01-01
0.0726348679591534,178.2024-02-01
0.0603221905736967,178.2024-03-01
0.11645985709610361,178.2024-04-01
0.08779522751554526,178.2024-05-01
0.5146548548846641,218.2023-12-01
0.7998616448061724,218.2024-01-01
0.6825242989286683,218.2024-02-01
0.7565279623800722,218.2024-03-01
0.587343187952982,218.2024-04-01
0.6835780740725258,218.2024-05-01
0.052315123203684526,26.2023-12-01
0.05354236862475584,26.2024-01-01
0.013744880774045577,26.2024-02-01
0.09726502648665979,26.2024-03-01
0.03698614993598235,26.2024-04-01
0.12227086674747686,26.2024-05-01
-0.12971541436245526,293.2023-12-01
0.09632540686680549,293.2024-01-01
-0.14714314934879766,293.2024-02-01
-0.02916128569242807,293.2024-03-01
-0.18812270527997574,293.2024-04-01
0.07608241154384962,293.2024-05-01
-1.041942367481478,373.2023-12-01
-1.0347803477465687,373.2024-01-01
-0.9750385596502229,373.2024-02-01
-0.9088119309570235,373.2024-03-01
-0.879819882623995,373.2024-04-01
-0.9034978183823363,373.2024-05-01
0.2761842219726512,383.2023-12-01
0.5360818852403845,383.2024-01-01
0.39061881351851485,383.2024-02-01
0.5979383591714927,383.2024-03-01
0.47107513631496883,383.2024-04-01
0.49974287048371085,383.2024-05-01
-1.0779493023833282,392.2023-12-01
-1.1121093603474659,392.2024-01-01
-1.0420736633296106,392.2024-02-01
-0.9859177723685649,392.2024-03-01
-1.0484735848127054,392.2024-04-01
-0.8975304401792159,392.2024-05-01
1.3864735579101894,471.2023-12-01
1.1910545247406465,471.2024-01-01
1.1503687019485858,471.2024-02-01
1.0974294317277444,471.2024-03-01
1.0775855308510056,471.2024-04-01
1.188876242468356,471.2024-05-01
0.010418052196482884,479.2023-12-01
-0.07952776433678568,479.2024-01-01
-0.002306522928094107,479.2024-02-01
-0.03849486557037786,479.2024-03-01
0.028690227083070563,479.2024-04-01
0.040065596825462665,479.2024-05-01
-0.1956600389291371,481.2023-12-01
-0.10436408810154428,481.2024-01-01
-0.10337547643814929,481.2024-02-01
-0.037333747009214865,481.2024-03-01
-0.03826908025704932,481.2024-04-01
-0.02911700045229309,481.2024-05-01
0.9697351967302485,494.2023-12-01
1.0530554918275221,494.2024-01-01
1.0240462420372347,494.2024-02-01
0.9743165714317709,494.2024-03-01
1.007055072036571,494.2024-04-01
1.0398858835571654,494.2024-05-01
3.1263913952806526,679.2023-12-01
3.281115624675698,679.2024-01-01
3.2002490179181886,679.2024-02-01
3.090295768150748,679.2024-03-01
3.210813559211842,679.2024-04-01
3.0588450010756385,679.2024-05-01
1.030843177757619,753.2023-12-01
1.0571729642734302,753.2024-01-01
1.1771048401355255,753.2024-02-01
1.0733756447765828,753.2024-03-01
1.111902894694198,753.2024-04-01
1.186259098325573,753.2024-05-01
0.41214225035312546,794.2023-12-01
0.5182517233311199,794.2024-01-01
0.4695098710291008,794.2024-02-01
0.4242915025270679,794.2024-03-01
0.44851753069888817,794.2024-04-01
0.36743830273193995,794.2024-05-01
1.8611757990691191,801.2023-12-01
2.0072389799348733,801.2024-01-01
1.9756299152136878,801.2024-02-01
2.0094130856648453,801.2024-03-01
2.0203357695974864,801.2024-04-01
2.0463558609906256,801.2024-05-01
1.212022365398175,807.2023-12-01
1.1874063595760134,807.2024-01-01
1.2234910657491151,807.2024-02-01
1.1827974616603765,807.2024-03-01
1.1886444829879097,807.2024-04-01
1.213593256256917,807.2024-05-01
-0.4672566804320963,808.2023-12-01
-0.462143776393229,808.2024-01-01
-0.44657562059144057,808.2024-02-01
-0.40751875428576,808.2024-03-01
-0.41628539141667525,808.2024-04-01
-0.38370049176451865,808.2024-05-01
-0.7979736379783292,830.2023-12-01
-0.8555847470727022,830.2024-01-01
-0.7920550327364505,830.2024-02-01
-0.748871631326616,830.2024-03-01
-0.6892105503627984,830.2024-04-01
-0.6703902346664677,830.2024-05-01
-0.5349133223548265,832.2023-12-01
-0.5355870826796127,832.2024-01-01
-0.4802638856209946,832.2024-02-01
-0.4862066964206909,832.2024-03-01
-0.47593271262763065,832.2024-04-01
-0.4606691877289861,832.2024-05-01
-1.3971619233990795,859.2023-12-01
-1.3720226154891195,859.2024-01-01
-1.3410146153687623,859.2024-02-01
-1.2605637593716252,859.2024-03-01
-1.301614098097478,859.2024-04-01
-1.284764768053126,859.2024-05-01
0.7275640628021004,885.2023-12-01
0.7404307735370099,885.2024-01-01
0.716622931402629,885.2024-02-01
0.6662190443797344,885.2024-03-01
0.666899921899181,885.2024-04-01
0.7000940095100665,885.2024-05-01
