P_avg_per_m_sec_scaled,index
0.0075622230865961485,479.2024-01-01
0.3933344623964654,479.2024-02-01
0.33107667890198317,479.2024-03-01
0.36644341482273485,479.2024-04-01
0.5664696598124327,479.2024-05-01
0.006200976170256397,481.2023-12-01
-0.07326502305908685,481.2024-01-01
0.07310754630355928,481.2024-02-01
0.23232206770714647,481.2024-03-01
0.2503778522767096,481.2024-04-01
0.2907529494934283,481.2024-05-01
0.94266180289976,494.2023-12-01
1.0377692997149695,494.2024-01-01
1.0431115517640008,494.2024-02-01
1.0977925835543278,494.2024-03-01
1.0761667363173832,494.2024-04-01
0.9751776254674227,494.2024-05-01
3.035668830436415,679.2023-12-01
2.9209645148067294,679.2024-01-01
2.786175386185012,679.2024-02-01
2.9913897797992504,679.2024-03-01
3.0779445365551927,679.2024-04-01
2.988667285966571,679.2024-05-01
1.0808925746684495,753.2023-12-01
0.9364976659201083,753.2024-01-01
1.0085923846779514,753.2024-02-01
0.9732770165653635,753.2024-03-01
1.0580082161314925,753.2024-04-01
1.0263656463026138,753.2024-05-01
0.6269552539252651,794.2023-12-01
0.7726600417817823,794.2024-01-01
0.8992303210972973,794.2024-02-01
0.9280990292853328,794.2024-03-01
0.8471176797151585,794.2024-04-01
0.7888665852574499,794.2024-05-01
1.9135904289071493,801.2023-12-01
1.900132063168243,801.2024-01-01
1.9767985168526612,801.2024-02-01
1.8810489224354048,801.2024-03-01
1.8789428423006904,801.2024-04-01
1.885363818321161,801.2024-05-01
1.1845014437347618,807.2023-12-01
1.1413781687812818,807.2024-01-01
1.0472723442252658,807.2024-02-01
1.1859654262674293,807.2024-03-01
1.1300772509852537,807.2024-04-01
1.1204201030504661,807.2024-05-01
-0.5410202841983238,808.2023-12-01
-0.4791991270732336,808.2024-01-01
-0.5579973447964479,808.2024-02-01
-0.4723158407792892,808.2024-03-01
-0.47652800104871784,808.2024-04-01
-0.5064240654000286,808.2024-05-01
-0.6259826389011899,830.2023-12-01
-0.5676544927312356,830.2024-01-01
